code_postal,latitude,longitude,nom_commune_complet,code_departement,nom_departement,code_region,nom_region
1400,46.1534255214,4.92611354223,L'Abergement-Clémenciat,1,Ain,84,Auvergne-Rhône-Alpes
1640,46.0091878776,5.42801696363,L'Abergement-de-Varey,1,Ain,84,Auvergne-Rhône-Alpes
1500,45.9608475114,5.3729257777,Ambérieu-en-Bugey,1,Ain,84,Auvergne-Rhône-Alpes
1330,45.9961799872,4.91227250796,Ambérieux-en-Dombes,1,Ain,84,Auvergne-Rhône-Alpes
1300,45.7494989044,5.59432017366,Ambléon,1,Ain,84,Auvergne-Rhône-Alpes
1500,46.0055913782,5.35760660735,Ambronay,1,Ain,84,Auvergne-Rhône-Alpes
1500,45.9367134524,5.3328092349,Ambutrix,1,Ain,84,Auvergne-Rhône-Alpes
1300,45.7873565333,5.65788307924,Andert-et-Condon,1,Ain,84,Auvergne-Rhône-Alpes
1350,45.9093715116,5.79516005674,Anglefort,1,Ain,84,Auvergne-Rhône-Alpes
1100,46.2054981558,5.65781475272,Apremont,1,Ain,84,Auvergne-Rhône-Alpes
1110,46.0015344029,5.51130637511,Aranc,1,Ain,84,Auvergne-Rhône-Alpes
1230,45.8908155275,5.49870439091,Arandas,1,Ain,84,Auvergne-Rhône-Alpes
1100,46.2834936005,5.69061651221,Arbent,1,Ain,84,Auvergne-Rhône-Alpes
1300,45.7237621545,5.65263086429,Arboys en Bugey,1,Ain,84,Auvergne-Rhône-Alpes
1300,45.7237621545,5.65263086429,Arboys en Bugey,1,Ain,84,Auvergne-Rhône-Alpes
1190,46.4776762988,4.9599416863,Arbigny,1,Ain,84,Auvergne-Rhône-Alpes
1230,45.9337182132,5.48251100314,Argis,1,Ain,84,Auvergne-Rhône-Alpes
1510,45.8541838459,5.58357838695,Armix,1,Ain,84,Auvergne-Rhône-Alpes
1480,45.9934611,4.82199649494,Ars-sur-Formans,1,Ain,84,Auvergne-Rhône-Alpes
1510,45.8695891748,5.69065283943,Artemare,1,Ain,84,Auvergne-Rhône-Alpes
1570,46.3857281418,4.88387478623,Asnières-sur-Saône,1,Ain,84,Auvergne-Rhône-Alpes
1340,46.2861802203,5.1795233845,Attignat,1,Ain,84,Auvergne-Rhône-Alpes
1380,46.3233203302,4.9528678933,Bâgé-Dommartin,1,Ain,84,Auvergne-Rhône-Alpes
1380,46.3077069231,4.92862084189,Bâgé-le-Châtel,1,Ain,84,Auvergne-Rhône-Alpes
1360,45.8311226453,5.10780019249,Balan,1,Ain,84,Auvergne-Rhône-Alpes
1990,46.1141214445,4.90146475101,Baneins,1,Ain,84,Auvergne-Rhône-Alpes
1270,46.4288360203,5.26003405676,Beaupont,1,Ain,84,Auvergne-Rhône-Alpes
1480,46.0008580204,4.75600664694,Beauregard,1,Ain,84,Auvergne-Rhône-Alpes
1100,46.2373497134,5.6360052884,Bellignat,1,Ain,84,Auvergne-Rhône-Alpes
1360,45.8591464826,5.13989505865,Béligneux,1,Ain,84,Auvergne-Rhône-Alpes
1360,45.8591464826,5.13989505865,Béligneux,1,Ain,84,Auvergne-Rhône-Alpes
1360,45.8591464826,5.13989505865,Béligneux,1,Ain,84,Auvergne-Rhône-Alpes
1360,45.8591464826,5.13989505865,Béligneux,1,Ain,84,Auvergne-Rhône-Alpes
1200,46.1067901755,5.83202736464,Bellegarde-sur-Valserine,1,Ain,84,Auvergne-Rhône-Alpes
1300,45.7494697806,5.68412365526,Belley,1,Ain,84,Auvergne-Rhône-Alpes
1130,46.2530316409,5.78471723698,Belleydoux,1,Ain,84,Auvergne-Rhône-Alpes
1260,45.8847475883,5.65115788055,Belmont-Luthézieu,1,Ain,84,Auvergne-Rhône-Alpes
1260,45.8847475883,5.65115788055,Belmont-Luthézieu,1,Ain,84,Auvergne-Rhône-Alpes
